Nr.,Name,Wahlberechtigte,abgegeb. Stimmen,Wahlbet.,ungültige,gültige,SPÖ,ÖVP,GRÜNE,FPÖ,BZÖ,RETTÖ,LIF,KPÖ,DC,LINKE,FRITZ
41212,Lambrechten                   ,1028,800,77.82,24,776,116,328,37,227,42,4,2,4,5,0,11
41213,Lohnsburg am Kobernaußerwald  ,1831,1319,72.04,33,1286,219,487,61,352,103,20,5,6,23,0,10
41214,Mehrnbach                     ,1871,1408,75.25,44,1364,263,382,96,471,88,14,12,3,18,0,17
41215,Mettmach                      ,2028,1480,72.98,69,1411,353,390,52,391,165,20,7,7,15,2,9
41216,Mörschwang                    ,237,185,78.06,9,176,17,93,12,31,16,0,1,1,0,0,5
41217,Mühlheim am Inn               ,507,393,77.51,14,379,116,105,25,69,35,6,9,1,6,0,7
41218,Neuhofen im Innkreis          ,1731,1285,74.23,42,1243,298,412,113,270,93,7,12,2,21,0,15
41219,Obernberg am Inn              ,1210,798,65.95,14,784,201,200,50,216,95,6,3,1,1,0,11
41220,Ort im Innkreis               ,916,690,75.33,20,670,112,212,33,211,80,10,3,1,4,0,4
41221,Pattigham                     ,700,548,78.29,19,529,73,215,36,145,43,3,1,1,8,0,4
41222,Peterskirchen                 ,571,433,75.83,14,419,31,227,28,90,29,1,1,0,8,0,4
41223,Pramet                        ,804,624,77.61,17,607,130,191,38,176,47,7,6,7,0,0,5
41224,Reichersberg                  ,1077,803,74.56,36,767,167,280,58,181,58,4,5,1,3,1,9
41225,Ried im Innkreis              ,8551,6027,70.48,150,5877,1504,1467,700,1455,488,51,84,41,40,2,45
41226,St.Georgen b. Obernberg am Inn,476,372,78.15,16,356,39,193,46,49,21,1,3,2,1,0,1
41227,St.Marienkirchen am Hausruck  ,626,481,76.84,11,470,51,194,32,145,21,4,1,2,16,0,4
41228,St.Martin im Innkreis         ,1273,896,70.38,25,871,217,216,77,244,84,9,9,3,0,0,12
41229,Schildorn                     ,852,673,78.99,18,655,179,237,27,139,48,6,3,4,2,0,10
41230,Senftenbach                   ,575,472,82.09,26,446,84,181,27,108,31,2,7,2,0,0,4
41231,Taiskirchen im Innkreis       ,1930,1510,78.24,56,1454,281,628,112,282,102,14,5,8,8,1,13
41232,Tumeltsham                    ,1193,920,77.12,31,889,126,281,107,258,73,2,15,2,9,0,16
41233,Utzenaich                     ,1182,905,76.57,28,877,183,322,56,193,87,9,5,6,4,1,11
41234,Waldzell                      ,1703,1279,75.1,51,1228,353,417,78,243,96,13,5,5,6,0,12
41235,Weilbach                      ,486,370,76.13,14,356,42,165,25,79,39,3,1,2,0,0,0
41236,Wippenham                     ,447,375,83.89,17,358,91,137,21,80,21,3,0,0,0,0,5
41299,Wahlkarten Ried im Innkreis              ,0,2528,0.0,53,2475,436,894,360,455,188,33,54,9,22,0,24
41300,Bezirk Rohrbach                      ,45922,38393,83.6,1447,36946,7852,15258,3003,5884,3322,303,314,202,438,14,356
41301,Afiesl                        ,337,270,80.12,8,262,59,101,20,42,24,5,2,3,2,0,4
41302,Ahorn                         ,402,346,86.07,9,337,67,146,21,74,22,0,1,2,2,0,2
41303,Aigen im Mühlkreis            ,1549,1144,73.85,40,1104,264,407,98,186,115,7,12,5,4,0,6
41304,Altenfelden                   ,1748,1368,78.26,65,1303,307,419,95,271,145,19,12,8,16,0,11
41305,Arnreit                       ,882,747,84.69,35,712,99,373,52,85,85,1,1,2,4,0,10
41306,Atzesberg                     ,380,324,85.26,16,308,28,173,22,46,31,0,1,2,5,0,0
41307,Auberg                        ,422,330,78.2,10,320,38,160,28,48,29,4,0,2,7,0,4
41308,Berg bei Rohrbach             ,2124,1613,75.94,68,1545,305,597,155,240,163,12,15,5,28,0,25
41309,Haslach an der Mühl           ,2123,1605,75.6,59,1546,535,447,156,222,122,17,14,3,15,0,15
41310,Helfenberg                    ,808,681,84.28,33,648,145,263,44,101,57,9,10,5,1,0,13
41311,Hörbich                       ,318,266,83.65,9,257,21,152,7,43,20,1,1,1,5,0,6
41312,Hofkirchen im Mühlkreis       ,1188,898,75.59,36,862,193,367,90,122,51,11,4,5,11,0,8
41313,Julbach                       ,1321,1043,78.96,39,1004,343,323,42,156,97,7,6,9,11,0,10
41314,Kirchberg ob der Donau        ,859,709,82.54,16,693,181,266,46,109,62,6,6,7,3,1,6
41315,Klaffer am Hochficht          ,1037,820,79.07,25,795,250,257,30,165,71,2,1,4,4,0,11
41316,Kleinzell im Mühlkreis        ,1144,875,76.49,35,840,231,278,74,117,101,14,6,4,3,1,11
41317,Kollerschlag                  ,1196,943,78.85,51,892,158,377,28,203,72,5,3,1,39,1,5
41318,Lembach im Mühlkreis          ,1279,1001,78.26,45,956,210,381,75,157,71,11,24,8,13,1,5
41319,Lichtenau im Mühlkreis        ,451,359,79.6,26,333,56,161,17,56,31,1,1,1,6,1,2
41320,Nebelberg                     ,513,441,85.96,13,428,92,209,19,57,33,3,6,2,2,0,5
41321,Neufelden                     ,974,747,76.69,34,713,169,273,99,90,39,11,17,3,10,0,2
41322,Niederkappel                  ,845,672,79.53,46,626,113,311,25,97,54,6,3,4,9,0,4
41323,Niederwaldkirchen             ,1394,1138,81.64,39,1099,205,514,80,149,117,5,6,6,7,0,10
41324,Oberkappel                    ,542,403,74.35,19,384,55,200,17,55,32,10,2,1,6,1,5
41325,Oepping                       ,1299,992,76.37,33,959,175,400,80,168,94,14,7,3,7,1,10
41326,Peilstein im Mühlviertel      ,1310,1028,78.47,53,975,209,442,33,170,79,1,5,5,24,0,7
41327,Pfarrkirchen im Mühlkreis     ,1171,909,77.63,35,874,124,432,54,155,63,4,13,9,11,0,9
41328,Putzleinsdorf                 ,1238,951,76.82,24,927,118,425,64,147,111,2,12,6,35,0,7
41329,Neustift im Mühlkreis         ,1154,896,77.64,23,873,149,432,70,126,67,1,4,3,7,0,14
41330,Rohrbach in Oberösterreich    ,1959,1496,76.37,65,1431,299,519,189,218,130,12,14,13,21,0,16
41331,St.Johann am Wimberg          ,793,659,83.1,21,638,114,261,35,110,86,8,5,3,2,0,14
41332,St.Martin im Mühlkreis        ,2882,2302,79.88,76,2226,527,795,220,389,189,24,21,9,27,0,25
41333,St.Oswald bei Haslach         ,443,321,72.46,21,300,71,145,12,32,32,2,1,0,3,1,1
41334,St.Peter am Wimberg           ,1407,1111,78.96,38,1073,183,525,81,154,90,13,11,2,8,0,6
41335,St.Stefan am Walde            ,665,556,83.61,25,531,103,228,49,57,68,1,6,3,12,0,4
41336,St.Ulrich im Mühlkreis        ,485,393,81.03,11,382,60,180,47,48,29,7,1,5,2,1,2
41337,St.Veit im Mühlkreis          ,955,764,80.0,23,741,150,322,58,125,52,5,11,4,2,0,12
41338,Sarleinsbach                  ,1810,1448,80.0,53,1395,195,722,100,231,97,8,5,6,25,0,6
41339,Schlägl                       ,1104,839,76.0,20,819,227,314,55,115,89,2,2,4,6,0,5
41340,Schönegg                      ,436,364,83.49,14,350,94,141,16,58,37,1,0,0,0,0,3
41341,Schwarzenberg am Böhmerwald   ,513,390,76.02,16,374,81,162,5,77,44,0,1,2,1,0,1
41342,Ulrichsberg                   ,2462,1891,76.81,60,1831,424,686,141,335,182,9,7,23,10,2,12
41399,Wahlkarten Rohrbach                      ,0,2340,0.0,60,2280,425,972,354,278,139,22,34,9,22,3,22
41400,Bezirk Schärding                     ,44487,36003,80.93,1033,34970,7829,12488,2193,8115,2895,462,223,158,243,9,355
41401,Altschwendt                   ,512,427,83.4,11,416,92,165,29,78,40,3,3,1,4,0,1
41402,Andorf                        ,3921,2983,76.08,72,2911,874,881,140,696,222,33,19,11,9,1,25
41403,Brunnenthal                   ,1536,1131,73.63,39,1092,237,352,101,256,84,13,13,8,8,0,20
41404,Diersbach                     ,1288,997,77.41,23,974,205,365,67,199,95,22,3,4,6,0,8
41405,Dorf an der Pram              ,824,650,78.88,22,628,124,307,28,105,44,5,1,1,6,0,7
41406,Eggerding                     ,1014,809,79.78,37,772,129,303,33,206,77,5,3,1,5,0,10
41407,Engelhartszell                ,857,638,74.45,19,619,120,245,40,130,56,9,5,6,5,0,3
41408,Enzenkirchen                  ,1438,1110,77.19,40,1070,322,304,40,276,105,7,2,2,4,0,8
41409,Esternberg                    ,2229,1714,76.9,40,1674,229,676,72,442,146,53,7,10,13,0,26
41410,Freinberg                     ,1059,757,71.48,23,734,191,338,30,125,33,4,4,5,2,0,2
41411,Kopfing im Innkreis           ,1636,1192,72.86,53,1139,209,398,61,282,112,20,11,3,31,1,11
41412,Mayrhof                       ,214,179,83.64,13,166,16,102,6,35,3,2,1,0,0,0,1
41413,Münzkirchen                   ,2064,1537,74.47,56,1481,256,607,114,347,114,14,7,8,7,0,7
41414,Raab                          ,1835,1416,77.17,74,1342,229,406,105,406,139,23,13,3,3,0,15
41415,Rainbach im Innkreis          ,1192,930,78.02,15,915,179,357,53,198,85,12,2,2,8,0,19
41416,Riedau                        ,1544,1171,75.84,36,1135,380,276,64,286,96,6,5,9,8,0,5
41417,St.Aegidi                     ,1301,1028,79.02,49,979,121,446,51,251,79,10,2,4,7,1,7
41418,St.Florian am Inn             ,2414,1792,74.23,29,1763,518,462,105,465,126,26,12,11,14,0,24
41419,St.Marienkirchen bei Schärding,1465,1098,74.95,35,1063,185,369,56,319,89,18,8,12,0,0,7
41420,St.Roman                      ,1402,1105,78.87,30,1075,111,538,19,266,107,7,3,6,6,1,11
41421,St.Willibald                  ,922,724,78.52,34,690,153,246,21,164,89,6,2,3,1,0,5
41422,Schärding                     ,3884,2614,67.3,48,2566,810,625,222,647,155,24,29,12,10,1,31
41423,Schardenberg                  ,1741,1303,74.84,26,1277,191,570,64,247,129,17,5,5,32,1,16
41424,Sigharting                    ,635,538,84.72,9,529,79,245,17,97,70,3,4,1,7,0,6
41425,Suben                         ,961,713,74.19,16,697,204,233,38,136,56,10,13,1,1,0,5
41426,Taufkirchen an der Pram       ,2282,1742,76.34,61,1681,506,517,103,360,142,20,8,11,3,0,11
41427,Vichtenstein                  ,489,358,73.21,9,349,50,161,17,86,21,2,1,6,0,0,5
41428,Waldkirchen am Wesen          ,1054,879,83.4,32,847,175,335,37,198,71,10,0,1,3,2,15
41429,Wernstein am Inn              ,1215,939,77.28,17,922,243,354,44,182,62,15,2,1,10,0,9
41430,Zell an der Pram              ,1559,1213,77.81,33,1180,215,490,113,231,85,29,5,1,5,0,6
41499,Wahlkarten Schärding                     ,0,2316,0.0,32,2284,476,815,303,399,163,34,30,9,25,1,29
41500,Bezirk Steyr-Land                    ,47154,40323,85.51,1065,39258,11978,11591,3406,6224,4258,316,391,203,324,8,559
41501,Adlwang                       ,1293,994,76.88,24,970,169,380,75,196,104,12,9,0,9,0,16
41502,Aschach an der Steyr          ,1766,1377,77.97,32,1345,334,451,143,207,143,4,17,13,9,0,24
41503,Bad Hall                      ,3802,2820,74.17,92,2728,802,697,250,509,368,24,25,13,27,0,13
41504,Dietach                       ,2147,1742,81.14,35,1707,526,470,194,260,161,19,30,5,16,0,26
41505,Gaflenz                       ,1467,1181,80.5,35,1146,303,405,93,157,130,5,5,2,12,0,34
41506,Garsten                       ,5259,4171,79.31,118,4053,1183,1123,470,660,409,38,56,26,29,1,58
41507,Großraming                    ,2261,1925,85.14,55,1870,612,585,146,259,182,23,18,10,7,1,27
41508,Laussa                        ,1048,830,79.2,29,801,201,241,60,139,131,4,2,3,8,0,12
41509,Losenstein                    ,1375,1102,80.15,24,1078,380,297,85,163,113,16,3,3,4,0,14
41510,Maria Neustift                ,1339,1143,85.36,34,1109,175,518,45,184,144,5,3,4,13,0,18
41511,Pfarrkirchen bei Bad Hall     ,1694,1332,78.63,46,1286,396,353,95,243,156,10,10,9,5,0,9
41512,Reichraming                   ,1503,1274,84.76,25,1249,666,189,64,180,116,6,10,5,3,0,10
41513,Rohr im Kremstal              ,962,762,79.21,7,755,224,261,51,107,96,3,3,4,3,0,3
41514,St.Ulrich bei Steyr           ,2498,1965,78.66,58,1907,468,637,198,269,218,13,40,7,21,0,36
41515,Schiedlberg                   ,994,801,80.58,15,786,124,475,23,86,49,7,2,7,4,0,9
41516,Sierning                      ,7227,5838,80.78,139,5699,2173,1350,388,1010,556,47,39,38,41,3,54
41517,Ternberg                      ,2719,2161,79.48,74,2087,592,528,170,329,336,17,22,9,18,2,64
41518,Waldneukirchen                ,1723,1415,82.12,41,1374,315,540,71,218,150,8,9,6,33,0,24
41521,Wolfern                       ,2425,1967,81.11,46,1921,570,636,158,299,179,16,20,10,16,0,17
41522,Weyer  ,3652,2810,76.94,81,2729,1113,615,226,412,258,16,17,15,21,1,35
41599,Wahlkarten Steyr-Land                    ,0,2713,0.0,55,2658,652,840,401,337,259,23,51,14,25,0,56
41600,Bezirk Urfahr-Umgebung               ,64770,55303,85.38,1758,53545,13917,16800,6989,8209,4716,513,899,339,545,21,597
41601,Alberndorf in der Riedmark    ,3002,2419,80.58,85,2334,555,769,215,472,206,24,16,16,35,1,25
41602,Altenberg bei Linz            ,3451,2808,81.37,77,2731,548,1111,343,346,255,18,34,11,34,0,31
41603,Bad Leonfelden                ,3159,2520,79.77,121,2399,417,870,245,394,272,44,37,19,64,0,37
41604,Eidenberg                     ,1547,1251,80.87,44,1207,200,571,104,151,117,20,18,5,5,0,16
41605,Engerwitzdorf                 ,6590,5107,77.5,163,4944,1466,1127,624,921,534,52,62,35,69,2,52
41606,Feldkirchen an der Donau      ,4221,3445,81.62,99,3346,1038,921,320,544,366,27,57,21,18,3,31
41607,Gallneukirchen                ,4940,3811,77.15,98,3713,1085,883,761,527,244,34,74,21,51,2,31
41608,Goldwörth                     ,728,580,79.67,22,558,147,204,59,73,53,1,4,5,6,0,6
41609,Gramastetten                  ,3758,3002,79.88,102,2900,644,1103,343,441,230,26,54,12,20,1,26
41610,Haibach im Mühlkreis          ,660,551,83.48,24,527,140,198,48,75,40,1,10,5,2,0,8
41611,Hellmonsödt                   ,1721,1354,78.68,34,1320,375,376,168,221,114,16,16,12,10,0,12
41612,Herzogsdorf                   ,1936,1489,76.91,50,1439,303,585,86,240,157,17,16,10,5,2,18
41613,Kirchschlag bei Linz          ,1585,1242,78.36,50,1192,266,369,161,216,117,12,18,10,8,0,15
41614,Lichtenberg                   ,2119,1735,81.88,54,1681,408,573,256,234,130,11,31,6,17,3,12
41615,Oberneukirchen                ,2533,1997,78.84,87,1910,425,699,248,288,165,20,28,10,6,0,21
41616,Ottenschlag im Mühlkreis      ,403,315,78.16,13,302,86,107,19,56,23,3,0,0,0,0,8
41617,Ottensheim                    ,3579,2765,77.26,72,2693,706,717,542,352,228,36,53,18,13,1,27
41618,Puchenau                      ,3781,2757,72.92,72,2685,798,685,491,359,195,19,70,28,13,2,25
41619,Reichenau im Mühlkreis        ,953,782,82.06,18,764,190,262,94,123,42,2,14,2,16,0,19
41620,Reichenthal                   ,1121,905,80.73,29,876,193,373,63,129,79,8,11,5,7,0,8
41621,St.Gotthard im Mühlkreis      ,1048,867,82.73,31,836,225,262,98,153,61,8,5,5,4,0,15
41622,Schenkenfelden                ,1259,1014,80.54,44,970,180,395,77,149,121,6,8,5,12,0,17
41623,Sonnberg im Mühlkreis         ,639,535,83.72,30,505,100,187,48,86,60,3,1,8,3,0,9
41624,Steyregg                      ,3856,2996,77.7,64,2932,1127,598,309,514,232,19,52,18,22,0,41
41625,Vorderweißenbach              ,1623,1387,85.46,55,1332,239,584,88,226,131,7,10,5,32,0,10
41626,Walding                       ,3159,2521,79.8,88,2433,860,673,284,308,178,21,55,12,16,2,24
41627,Zwettl an der Rodl            ,1399,1120,80.06,25,1095,242,413,129,145,95,18,13,13,17,0,10
41699,Wahlkarten Urfahr-Umgebung               ,0,4028,0.0,107,3921,954,1185,766,466,271,40,132,22,40,2,43
41700,Bezirk Vöcklabruck                   ,100100,82492,82.41,2592,79900,21941,21402,7264,17941,7344,932,922,510,848,22,774
41701,Ampflwang im Hausruckwald     ,2803,2222,79.27,73,2149,1022,261,96,468,214,18,18,18,19,2,13
41702,Attersee                      ,1274,978,76.77,41,937,229,261,104,190,94,13,28,5,9,0,4
41703,Attnang-Puchheim              ,6341,4617,72.81,116,4501,1789,678,404,1069,378,45,44,31,35,1,27
41704,Atzbach                       ,924,768,83.12,33,735,98,309,51,185,53,4,6,7,17,0,5
41705,Aurach am Hongar              ,1242,1010,81.32,31,979,319,218,55,239,84,7,16,8,8,1,24
41706,Berg im Attergau              ,761,608,79.89,16,592,79,288,25,127,54,5,1,2,5,0,6
41707,Desselbrunn                   ,1297,1056,81.42,23,1033,303,339,87,187,77,8,6,7,16,0,3
41708,Fornach                       ,724,614,84.81,20,594,68,247,32,172,44,4,8,1,12,0,6
41709,Frankenburg am Hausruck       ,3942,3225,81.81,147,3078,945,699,197,859,230,70,20,16,24,0,18
41710,Frankenmarkt                  ,2697,1980,73.41,70,1910,479,538,107,472,216,25,14,20,26,0,13
41711,Gampern                       ,2016,1580,78.37,72,1508,304,461,140,357,175,18,13,11,13,1,15
41712,Innerschwand                  ,825,613,74.3,25,588,59,314,55,83,51,7,5,3,5,0,6
41713,Lenzing                       ,4027,3095,76.86,85,3010,1374,295,187,811,246,34,19,14,12,1,17
41714,Manning                       ,637,525,82.42,17,508,129,186,40,69,44,6,0,4,23,0,7
41715,Mondsee                       ,2375,1591,66.99,27,1564,323,489,178,276,207,22,23,11,12,1,22
41716,Neukirchen an der Vöckla      ,1985,1602,80.71,47,1555,316,470,142,383,161,17,13,6,38,0,9
41717,Niederthalheim                ,813,649,79.83,19,630,99,239,55,167,44,2,9,3,4,0,8
41718,Nußdorf am Attersee           ,869,617,71.0,23,594,80,229,44,160,55,7,10,2,3,0,4
41719,Oberhofen am Irrsee           ,1104,883,79.98,27,856,172,334,67,157,71,10,12,1,7,0,25
41720,Oberndorf bei Schwanenstadt   ,1123,872,77.65,27,845,245,227,72,195,83,5,4,3,3,0,8
41721,Oberwang                      ,1238,968,78.19,52,916,95,495,32,194,71,7,3,4,5,1,9
41722,Ottnang am Hausruck           ,3051,2368,77.61,100,2268,743,537,141,515,214,38,16,16,30,0,18
41723,Pfaffing                      ,1077,876,81.34,30,846,225,213,56,225,91,7,7,1,12,1,8
41724,Pilsbach                      ,499,425,85.17,13,412,104,159,36,67,32,1,2,0,3,0,8
41725,Pitzenberg                    ,402,289,71.89,6,283,66,80,21,79,22,4,3,2,4,1,1
41726,Pöndorf                       ,1823,1433,78.61,62,1371,356,440,64,329,131,6,8,5,7,2,23
41727,Puchkirchen am Trattberg      ,753,603,80.08,19,584,120,198,62,124,40,5,10,4,11,0,10
41728,Pühret                        ,472,393,83.26,15,378,80,137,32,93,21,3,4,1,4,0,3
41729,Redleiten                     ,381,293,76.9,5,288,75,90,7,72,33,6,2,0,0,0,3
41730,Redlham                       ,1115,882,79.1,35,847,255,246,74,182,55,9,6,6,5,0,9
41731,Regau                         ,4683,3701,79.03,117,3584,1084,755,304,847,408,45,24,25,50,0,42
41732,Rüstorf                       ,1573,1211,76.99,37,1174,388,254,96,299,90,7,12,5,13,0,10
41733,Rutzenham                     ,202,175,86.63,7,168,16,63,35,34,4,3,1,5,5,0,2
41734,St.Georgen im Attergau        ,2980,2233,74.93,65,2168,398,589,137,701,213,33,18,21,37,0,21
41735,St.Lorenz                     ,1637,1215,74.22,33,1182,178,485,120,182,154,10,29,5,1,0,18
41736,Schlatt                       ,1025,791,77.17,31,760,198,218,53,150,93,12,7,6,15,0,8
41737,Schörfling am Attersee        ,2584,1927,74.57,48,1879,543,395,204,476,192,14,25,12,9,0,9
41738,Schwanenstadt                 ,3045,2254,74.02,37,2217,680,487,237,505,207,21,25,13,21,0,21
41739,Seewalchen am Attersee        ,4134,3035,73.42,88,2947,839,636,300,754,255,37,43,25,26,1,31
41740,Steinbach am Attersee         ,682,521,76.39,16,505,120,193,37,79,56,8,8,0,0,0,4
41741,Straß im Attergau             ,1114,826,74.15,33,793,127,277,40,233,82,14,3,4,6,1,6
41742,Tiefgraben                    ,2667,1985,74.43,75,1910,324,711,169,377,237,17,25,5,8,2,35
41743,Timelkam                      ,4552,3607,79.24,116,3491,1255,591,326,812,341,41,39,20,30,1,35
41744,Ungenach                      ,1104,918,83.15,31,887,137,365,84,193,73,6,6,3,12,0,8
41745,Unterach am Attersee          ,1119,770,68.81,17,753,209,236,75,115,71,8,11,11,4,0,13
41746,Vöcklabruck                   ,9144,6508,71.17,164,6344,1909,1394,847,1267,559,65,121,46,84,2,50
41747,Vöcklamarkt                   ,3621,2808,77.55,96,2712,674,831,210,644,230,39,21,15,27,0,21
41748,Weißenkirchen im Attergau     ,754,595,78.91,29,566,84,234,30,130,50,7,4,1,22,0,4
41749,Weyregg am Attersee           ,1256,896,71.34,24,872,212,285,83,170,82,17,6,3,7,0,7
41750,Wolfsegg am Hausruck          ,1586,1191,75.09,40,1151,391,238,108,269,87,19,6,20,6,1,6
41751,Zell am Moos                  ,1128,868,76.95,41,827,115,343,84,140,97,15,3,1,12,0,17
41752,Zell am Pettenfirst           ,920,743,80.76,29,714,168,227,84,133,62,12,10,7,6,0,5
41799,Wahlkarten Vöcklabruck                   ,0,6079,0.0,142,5937,1341,1918,938,925,410,69,145,45,75,2,69
41800,Bezirk Wels-Land                     ,51175,42943,83.91,1054,41889,12380,10663,3561,9039,4401,373,476,202,313,15,466
41801,Aichkirchen                   ,415,348,83.86,9,339,41,149,15,94,29,4,1,1,0,0,5
41802,Bachmanning                   ,458,376,82.1,12,364,86,107,26,69,47,7,0,0,18,0,4
41803,Bad Wimsbach-Neydharting      ,1896,1523,80.33,57,1466,408,509,86,279,139,10,11,8,8,0,8
41804,Buchkirchen                   ,2995,2435,81.3,48,2387,830,528,208,480,229,22,23,15,29,0,23
41805,Eberstalzell                  ,1769,1430,80.84,37,1393,187,583,96,337,145,5,6,8,17,0,9
41806,Edt bei Lambach               ,1628,1265,77.7,22,1243,355,334,84,293,138,7,11,1,6,0,14
41807,Fischlham                     ,1056,892,84.47,14,878,214,338,53,165,75,8,7,4,3,1,10
41808,Gunskirchen                   ,4325,3423,79.14,71,3352,978,742,260,783,413,32,40,13,23,0,68
41809,Holzhausen                    ,564,446,79.08,13,433,128,131,28,86,44,2,7,3,2,0,2
41810,Krenglbach                    ,2351,1930,82.09,51,1879,630,422,173,375,210,8,29,9,10,1,12
41811,Lambach                       ,2443,1751,71.67,34,1717,546,369,169,380,177,17,12,10,14,1,22
41812,Marchtrenk                    ,8964,6948,77.51,183,6765,2803,958,509,1468,732,63,79,39,36,4,74
41813,Neukirchen bei Lambach        ,701,596,85.02,25,571,111,220,31,137,45,5,6,6,0,0,10
41814,Offenhausen                   ,1225,978,79.84,30,948,185,293,67,230,130,11,10,2,9,0,11
41815,Pennewang                     ,707,553,78.22,15,538,83,220,56,94,58,8,4,0,7,0,8
41816,Pichl bei Wels                ,2071,1691,81.65,57,1634,400,493,143,338,178,16,19,9,14,0,24
41817,Sattledt                      ,1781,1429,80.24,28,1401,384,461,67,302,123,12,17,5,16,0,14
41818,Schleißheim                   ,876,719,82.08,23,696,159,187,74,138,106,7,10,0,5,0,10
41819,Sipbachzell                   ,1389,1119,80.56,20,1099,224,395,76,227,122,12,12,4,11,0,16
41820,Stadl-Paura                   ,3705,2682,72.39,65,2617,993,339,200,721,264,24,18,20,13,2,23
41821,Steinerkirchen an der Traun   ,1807,1465,81.07,52,1413,245,622,101,247,144,8,11,8,8,0,19
41822,Steinhaus                     ,1500,1250,83.33,37,1213,246,342,73,416,104,7,11,3,4,0,7
41823,Thalheim bei Wels             ,4189,3171,75.7,63,3108,864,774,418,569,331,26,57,14,22,5,28
41824,Weißkirchen an der Traun      ,2360,1886,79.92,33,1853,643,415,171,372,183,19,17,11,13,0,9
41899,Wahlkarten Wels-Land                     ,0,2637,0.0,55,2582,637,732,377,439,235,33,58,9,25,1,36
