Nr.,Name,Wahlberechtigte,abgegeb. Stimmen,Wahlbet.,ungültige,gültige,ÖVP,SPÖ,FPÖ,GRÜNE,NEOS,BIER,MFG,KPÖ,LMP,GAZA,KEINE
40435,St.Georgen am Fillmannsbach,361,293,81.16,2,291,89,19,155,8,12,4,0,1,0,0,3
40436,St.Johann am Walde,1629,1245,76.43,21,1224,350,167,531,54,57,23,9,18,6,0,9
40437,St.Pantaleon,2253,1666,73.95,18,1648,407,300,606,74,125,36,17,60,11,7,5
40438,St.Peter am Hart,1849,1435,77.61,12,1423,367,214,533,93,125,31,21,22,8,1,8
40439,St.Radegund,478,356,74.48,9,347,151,23,76,33,33,10,5,9,3,1,3
40440,St.Veit im Innkreis,318,268,84.28,6,262,82,47,106,12,9,1,1,4,0,0,0
40441,Schalchen,2846,2155,75.72,22,2133,508,400,778,150,136,49,36,47,12,3,14
40442,Schwand im Innkreis,772,621,80.44,7,614,190,62,251,32,34,14,9,10,5,1,6
40443,Tarsdorf,1620,1226,75.68,21,1205,431,111,449,55,76,21,10,29,5,1,17
40444,Treubach,575,429,74.61,8,421,156,30,188,8,18,5,6,7,1,0,2
40445,Ueberackern,428,324,75.7,2,322,117,37,117,13,22,5,2,5,1,0,3
40446,Weng im Innkreis,1125,878,78.04,8,870,269,118,359,43,43,8,11,7,5,0,7
40499,Wahlkarten Braunau,0,1719,0.0,12,1707,442,291,470,165,187,58,21,44,15,0,14
40500,Eferding,25862,21515,83.19,238,21277,5717,4404,6851,1435,1726,393,129,313,129,46,134
40501,Alkoven,4638,3784,81.59,38,3746,889,951,1099,274,339,66,19,56,21,7,25
40502,Aschach an der Donau,1574,1244,79.03,13,1231,255,311,374,101,117,24,7,20,4,5,13
40503,Eferding,2917,2068,70.89,15,2053,539,477,604,150,172,42,7,36,6,9,11
40504,Fraham,1947,1527,78.43,22,1505,375,305,511,95,124,28,9,25,15,5,13
40505,Haibach ob der Donau,1055,889,84.27,11,878,245,171,300,55,71,13,8,5,4,1,5
40506,Hartkirchen,3235,2715,83.93,27,2688,737,494,959,161,199,45,15,47,15,0,16
40507,Hinzenbach,1607,1305,81.21,17,1288,408,253,391,73,105,19,8,18,2,1,10
40508,Prambachkirchen,2323,1942,83.6,37,1905,589,300,652,130,142,36,15,19,12,3,7
40509,Pupping,1436,1177,81.96,10,1167,375,247,354,80,62,15,5,15,5,5,4
40510,St.Marienkirchen an d. Polsenz,1904,1553,81.57,14,1539,422,294,531,92,108,30,15,21,16,2,8
40511,Scharten,1864,1569,84.17,6,1563,347,333,557,120,126,25,10,20,13,5,7
40512,Stroheim,1362,1131,83.04,21,1110,391,130,391,44,77,29,5,17,11,2,13
40599,Wahlkarten Eferding,0,611,0.0,7,604,145,138,128,60,84,21,6,14,5,1,2
40600,Freistadt,54605,46822,85.75,667,46155,13995,8941,13714,3422,3262,876,394,772,291,109,379
40601,Freistadt,6209,4934,79.47,56,4878,1251,1032,1335,477,399,103,43,90,41,79,28
40602,Grünbach,1517,1232,81.21,10,1222,357,227,423,65,79,30,14,16,7,1,3
40603,Gutau,2300,1886,82.0,19,1867,652,413,500,111,94,30,11,30,5,2,19
40604,Hagenberg im Mühlkreis,2439,1963,80.48,16,1947,420,462,536,208,196,40,10,43,15,2,15
40605,Hirschbach im Mühlkreis,941,809,85.97,15,794,280,135,170,68,99,7,8,12,10,1,4
40606,Kaltenberg,489,448,91.62,3,445,223,27,142,11,23,11,5,1,0,0,2
40607,Kefermarkt,1753,1483,84.6,23,1460,413,305,445,108,114,20,7,30,6,0,12
40608,Königswiesen,2522,2125,84.26,36,2089,721,250,782,102,114,28,22,33,8,1,28
40609,Lasberg,2344,1983,84.6,25,1958,657,344,523,165,165,35,11,24,17,2,15
40610,Leopoldschlag,787,668,84.88,12,656,272,86,189,27,49,10,5,8,2,0,8
40611,Liebenau,1344,1155,85.94,20,1135,439,136,410,30,64,20,7,16,6,0,7
40612,Neumarkt im Mühlkreis,2615,2179,83.33,17,2162,634,447,535,228,164,58,17,38,27,1,13
40613,Pierbach,813,670,82.41,11,659,211,72,279,28,25,10,9,8,4,0,13
40614,Pregarten,4483,3656,81.55,49,3607,928,879,1054,265,274,63,23,65,21,0,35
40615,Rainbach im Mühlkreis,2382,1923,80.73,35,1888,691,371,459,146,115,36,15,18,11,4,22
40616,Sandl,1164,970,83.33,19,951,232,217,312,52,55,27,18,21,7,1,9
40617,St.Leonhard bei Freistadt,1122,958,85.38,20,938,335,143,304,47,45,18,8,20,4,3,11
40618,St.Oswald bei Freistadt,2382,1988,83.46,35,1953,571,333,751,66,148,31,15,23,6,1,8
40619,Schönau im Mühlkreis,1619,1391,85.92,15,1376,508,186,461,79,71,19,17,16,7,1,11
40620,Tragwein,2528,2177,86.12,30,2147,561,542,636,133,139,49,17,47,13,1,9
40621,Unterweißenbach,1815,1496,82.42,35,1461,532,159,574,55,55,25,16,22,2,2,19
40622,Unterweitersdorf,1786,1570,87.91,18,1552,365,379,470,118,110,30,14,35,15,3,13
40623,Waldburg,1150,981,85.3,12,969,317,155,270,78,90,20,9,16,6,0,8
40624,Wartberg ob der Aist,3646,3092,84.81,48,3044,754,731,865,314,209,58,21,54,17,2,19
40625,Weitersfelden,811,695,85.7,10,685,277,89,201,31,46,14,9,6,4,1,7
40626,Windhaag bei Freistadt,1272,1079,84.83,18,1061,440,195,254,61,63,16,4,14,4,1,9
40627,Bad Zell,2372,1996,84.15,38,1958,655,334,531,203,118,32,26,27,12,0,20
40699,Wahlkarten Freistadt,0,1315,0.0,22,1293,299,292,303,146,139,36,13,39,14,0,12
40700,Gmunden,78067,62741,80.37,857,61884,15213,13564,17961,5457,5559,1349,615,1200,405,117,444
40701,Altmünster,7801,6406,82.12,73,6333,1873,1084,1693,624,692,122,64,97,43,3,38
40702,Bad Goisern am Hallstättersee,6170,4719,76.48,107,4612,850,1380,1347,279,324,152,56,127,37,4,56
40703,Bad Ischl,10650,7985,74.98,111,7874,1850,1767,2120,841,666,215,78,192,40,23,82
40704,Ebensee,6004,4586,76.38,71,4515,947,1274,1320,321,316,105,40,127,26,5,34
40705,Gmunden,9496,7063,74.38,63,7000,1857,1263,1636,946,891,129,53,130,48,17,30
40706,Gosau,1376,1103,80.16,19,1084,291,332,293,40,72,23,1,10,8,0,14
40707,Grünau im Almtal,1610,1326,82.36,25,1301,287,292,450,92,122,20,9,10,10,2,7
